score,review,date
4.9,最高です。災害現場第一線のリアリティがあった。震災の影響を受けての作品だと思える。日本を舞台にするからこそゴジラっていうキャラクターの意味があると思う。最後の画だけ、なんかなーって思ったけど近年の邦画の中ではかなり見れると思いました！,2016/07/29
0.0,庵野さん、樋口さん、尾上さん、この映画を作ってくれて本当にありがとうございました。とりあえずもう１回映画館行きます。,2016/07/29
4.0,ゴジラがメインでなく、ゴジラの対応に追われる日本政府をメインにすることで震災以降の日本の抱えている問題や続々と広がる被害状況でゴジラの恐怖が伝わってきた石原さとみのルー大柴のモノマネとか1番最初の素人の演技とかハリウッドとのCGの出来などは「ん？」ってなったけど、全体的にはいい作品でしたあとあまり詳しくないから、わかりませんが戦車や戦闘ヘリなどの撮り方に何かオタク的なこだわりを感じた,2016/07/29
4.8,まず、リアルタイムで最速上映(7月28日27時40分の回)を観に行けたことに感謝。この先、この祭りにリアルタイムで参加したことが財産になると思っている。 今回のゴジラはひたすら怖い。着ぐるみ時代はまだ人間っぽさというか可愛げがあったけど、今回は全編CGのせいで無機質かつ不気味。その上、イデオン的なチート能力を持っていて、全く勝てる気がしない。ここまで、圧倒的な絶望感を味わせられたのは歴代一位だと思う。 しかも、それに立ち向かう人間、日本政府のシステムが機能不全過ぎてさらに絶望。とりあえず、議会に通さないといけない、法案を変えなきゃいけないという杓子定規だらけ。そうか、我々はこんなおバカなシステムの上であんな未曾有の災害に遭ったのかと改めて痛感させられる。 そんなシステムの中でも、人間が持てる英知を結集し、神に近い存在に立ち向かっていく姿に胸を熱くさせられる。今回はオキシジェンデストイヤーとか機龍とか派手な武器は全くなく、とある地味な秘密兵器を使う歴代最凶のゴジラに対して、歴代一地味な武器で対抗するので余計グッとくる。 そのラストの×××作戦では、「せめてフィクションの中ではこうありたい」という日本像が描かれていたように思えた。,2016/07/29
5.0,人間ドラマ的なものは正直薄い、CGはたまにんー？ってなるがなぜこんなに笑顔になれるのかもはや一人一人のドラマではなく、日本という主人公がひとつの脅威に向けてあれこれする「がんばろう！日本」映画だった！あとはとにかく監督のテイストアニメの編集術を実写でもできる！と言い張れる作品にもなってた 素晴らしい怪獣映画だとしてバカにしてる人いるかもしれないが、間違えていけないのは今回はディザスタームービーな感じがする。とにかく嬉しくて泣けた,2016/07/29
4.6,単に人を絶望に追い込む圧倒的暴力でもなく、人類を他の怪獣から守る正義の味方でもなく、初代の自然災害としての特性を残しつつ人類が立ち向かう敵だと明確に意識されてるゴジラっていうのは確かに面白い。迫力もあるし、観終わってスッキリもするので男同士で見に行くならまず失敗しないだろうっていう映画。50年版と84年版のゴジラに対するリスペクトが大きい一方、それのリメイクにとどまらず新たな要素がしっかり加えられているので作品としての独立性が担保されている。日本の政治を強烈に皮肉ったようなシーンがあるにも関わらずイデオロギーに委ねることなくシステムへの批判に止めてる点のバランス感覚も良く、「オキシジェンデストロイヤー」とはまた違った結末は現代の社会によく合わせられた良いものだったと思う。自然VS人間の戦争という構図はジブリ映画、特に風立ちぬにおける地震の描き方に感化されたかなとか深読みしてしまう。気になるポイントがあるとすると、序盤の尻尾など、一部のCGに実在感がないところ。,2016/07/29
4.0,木曜深夜からの最速上映で観賞。「シン・ゴジラ」は、お涙頂戴の市民目線など敢然と無視して、ひたすら「国家vs巨大不明生物」のドラマに焦点を絞った「新ゴジラ」となっていた。東京湾に異変が発生。原因は海中に巨大不明生物説を、一笑に伏す日本政府の首脳陣。巨大生物が姿を現しても、まだも楽観視。その後、想像を超える進化を遂げた「真ゴジラ」に政府はなす術ががなくなり、アメリカを主導とする国連多国籍軍の出動を是認することに。さあ、東京が核攻撃で汚染されるのは時間の問題、どうなる？ おおまかのストーリーはこんな感じだが、この間の政府の対応ぶりがリアルに展開されていく。もちろん「神ゴジラ」の東京破壊ぶりはこれまでのシリーズにもなかった大迫力だが、それとともに見どころは、無敵の巨大不明生物(なんと118m)出現を前にして繰り広げられる、官邸を中心とした政治ドラマを、事細かに見せてくれるところだ。単なる怪獣映画ではなく、立派に国家の危機管理ドラマになっている。,2016/07/29
4.0,"最速で見てきました。エヴァが好きな人→見たほうが良い。その他の人→肩の力は抜いて。カット割りが多い分、気にはなりにくいが、庵野監督の演出が良くないのか、役者さんの演技がメチャ下手に見える。ゴジラに関しては、中盤の激おこゴジラには興奮した。ただ、エヴァンゲリオンの文脈が多すぎて、完全初見の人が楽しめるか、全く想像つかない…。庵野秀明作品のノリについて来れるのかな？？トップをねらえ！とか、テレビ版エヴァンゲリオンのイロイロな""使徒""対""第3新東京市""のセルフオマージュは楽しかったけどね。映画作品としては★3.6でも、ヒット祈願込みで★4で！！まぁ、ゴジラの正体が〇〇〇なので、続編があるなら実写版〇〇〇〇〇〇〇〇をやっちゃいそう…でもいけそうなきがする！対ゴジラ決戦兵器(メカゴジラ的なやつ)の登場シーンでガンバスターマーチが流れたら泣ける！#コバヤン2016",2016/07/29
4.7,これは凄い、本当に。もしちょっとでも興味があったなら、少しでも多くの人に観てほしいと思った。単純に、「今の日本で巨大生物上陸という未曾有の危機が起きた時、日本政府はどう対処するのか」というシミュレーションとしても、大変興味深い。初代ゴジラが「問題提起」だとしたら、シン・ゴジラは「問題解決」に焦点が当たっているため、問題＝ゴジラと対峙する日本側の対応は、徹底的にリアルさが追求されている。実際、この映画を作るために、膨大な資料を分析し（特に3.11の）、各所政府機関と調整を行ったとのこと。その様は、さながら今回のゴジラ対策部のよう。ゴジラの造形に関しても、細部に至り理由があってあの形になってるようで、そういったこだわりは全編を通じて伝わってくる（この辺りは、是非パンフレットも読んでみてほしいです）。そして、そこまで徹底してこだわって、この作品で何を伝えたかったのか。敗戦や震災を経験してきた私達日本人にとっては、決して他人事としては受け取れないメッセージが伝わるのではないかと思う。個人的には、国産の完全新作として復活し、劇場でまた、ゴジラ上陸と共にあのテーマソングを聞けただけで嬉しい。小さい頃、毎年父親に劇場に連れて行ってもらうのを楽しみにしていたことを思い出した。しかし、単にゴジラを復活させただけでなく、ハリウッド版のゴジラもあって世界中から注目が集まる中で、敢えて日本人による日本人のための映画をここまでこだわり抜いて作ってくれた庵野監督をはじめとする映画スタッフの方々に感謝したい。,2016/07/29
0.0,おそらくあの前半は、映像編集なしの脚本のみの段階だとすごいつまらなかったと思うけど、それにGO出した東宝も、現在日本映画で唯一蛮勇が許される人間庵野秀明も凄えわ少なくとも僕は観たいもの全て観れたし大変満足しました,2016/07/29
