score,review,date
2.5,少年のココロを忘れない特撮大好きおじさんにはたまらなく面白い映画だと思います。俺はウルトラマンを見て育った世代だけど全く趣味じゃないし万人ウケはしないだろうし、ネットでの賛否両論なのが分かりますね。,2019/12/22
5.0,"感動。庵野さん。樋口さん。カラーのみなさん。ありがとう。特撮の黎明期を支えた方々。今の日本のOTAKU文化をつくりだす元となる素晴らしいカルチャーを生み出した数々の創造者に対しあのときの衝撃を受けた者たちが今に再現した傑作。伝承の熱に感動を覚えた。すばらしい時間をありがとうございます。…☆…☆…☆…☆…☆…☆…☆…☆…☆…☆…May 11, 2022先ほどチケット購入完了では、待機します。………………………………………………………#シンエヴァンゲリオンを初日に鑑賞。エンディングの空気感をみるにつけLOVE&POPを観ることに。はじめてみたあの頃の空気感がつまっていた。生々しくてはかなくて、でも女は強い。がシンウルトラマンもそうなのだろうか。わかってましたよ。そりゃとるでしょ。ゴジラをやったらそりゃウルトラマンでしょ。お待ち申し上げます。何卒よろしくおねがいいたします。",2019/08/03
0.0,5月12日は「シン・ウルトラマン前夜祭」の日ですね。↑という感慨を経た翌日。公開初日に鑑賞してまいりまして。昭和の少年にとっては当然 心惹かれるものがあり。『シン・ゴジラ』に魅了された映画ファンにとっても、気になる作品であると思います。冒頭、往年の「ウルトラQ」～「ウルトラマン」をオマージュしたタイトルバック。そしてウルトラQの怪獣などがインサートされた  ここまでのいきさつなんかは“つかみ”としては最高。間もなく怪獣が暴れ出し、突如 有無を言わさず（？）ウルトラマンが現れ、怪獣退治らしきことをして見せるくだりも、普通に楽しめました。その後はザラブが現れ、メフィラスが登場し、日本政府との駆け引きアレコレあって。ゾーフィとの話し合いとゼットンの投入と。この展開は昭和の「ウルトラマン」とは違うものでしたが。後半になるにつれて、そんなに響かなかったなぁ。“外星人”というスケールと日本の政府首脳との協定とか「話がちっちゃい」と思えたし。にせウルトラマンも 巨大浅見分析官も、話の中で機が熟してる感もないままに登場して。ちょっと出オチ感が否めないというか。そしてゼットンというキャラクターって最強の宇宙恐竜という認識だったのが、ゾーフィが地球壊滅のために持ってきた宇宙ステーションみたいなものになっていて。なんか思ってたのと違うかなって。そういう尻すぼみ感もぬぐえなかったし、ウルトラマンが自分の命を神永（斎藤工）に与える動機も全然ドラマチックじゃなかったし。もっとブラッシュアップできたんじゃないかと思うわけで。今作は監督・樋口真嗣。脚本・庵野秀明と表記はありまして。この際 監督や脚本といった線引きがどれぐらいされているのかはわかりませんが。実は樋口真嗣監督は実写版『進撃の巨人』の際にも、特撮には長けているかもしれないが、人間ドラマには弱いという話もあったんですね。それと似たような状況があったような、どうなのか。その“特撮”という面でも、僕らが子どもの頃に見ていたテイストのそれではなく、基本CGですよね。その是非はともかく、そもそも日本のCGの技術・予算って、世界のそれと比べたら及ばないところはあるけど。確かに今作のウルトラマンの描写は及第点だとは思いますが…正直、後半って“ウルトラマン対怪獣（禍威獣）”の見せ場ってないんだよね。クライマックスはゼットンに対し、宇宙空間で八つ裂き光輪を連発して撥ね返されてただけで。怪獣相手にスペシウム光線 ビー！ ドーン！ バーン！ みたいのって最初だけだったような。まぁでもそれが「ウルトラマン」であり、これが「シン・ウルトラマン」だと言われりゃそうなのかもしれないけど。個人的には、想像を裏切ることはあっても、期待を上回るものではなかったって感じかな。次は『シン・仮面ライダー』ですか。まぁ宇宙人の考えることはわからんにしても、仮面ライダーは元々人間の苦悩とかも描かれた作品ですからね。2023年3月31日公開予定ということなので。プラス1年ぐらい延期の可能性も込みで、楽しみに待ちましょうか。,2022/05/12
3.6,令和4年(2022年)5月14日(土)於:１０９シネマズ広島評価：④＊専門用語の羅列で庵野秀明らしいウルトラマンでしたが､ストーリーが散発すぎてちょっと期待外れだったかな😵ラスト､正体の知られた神永はこれからどのように社会生活を送っていくのだろうか？とふと思ってしまいました💦😅,2022/05/12
0.0,2022年劇場鑑賞49本目IMAX⭐️⭐️5/21 TOHO日比谷　51本目,2022/05/12
4.0,樋口真嗣監督による「シン・ゴジラ」に続く「シン・ウルトラマン」。シン・ゴジラの時には巨大未確認生物という脅威に対して日本政府の対応と人類の叡智をかけての戦いをコミカルに描いていたがこちらは何故か日本ばかりが巨大未確認生物の襲来を何度も受けて（禍威獣と分類）日本政府が対策本部として禍特対を設立し、そこに未知の巨人が登場し、禍威獣　対　禍特対　対　外星人という三つ巴の構図が展開され描かれていく。1966年放送のTVシリーズをぎゅっと濃縮しつつ納得のいく設定にした内容なので個人的にはとても楽しめた。新規の人は米津玄師の曲が今後はウルトラマンの曲として認知されていくんだろうなぁ、曲もいいけどもなによりもアレンジされた挿入曲が過去のTVを知ってる人にはノスタルジックに触れ余韻に浸れるよね。ウルトラQのオマージュも含めどこか懐かしくもある、最新のCGやVFXが散りばめられているにも関わらず抑えるとこは抑えている感じられたので（戦い方や空中戦等）良かった。もちろん従来のウルトラマンからはだいぶ変更点があるけども決して改悪ではなく、あくまでもウルトラマンもヒーローというよりも1人の外星人の生き方、考えとしての位置付けに徹しているのが作品に深さを与えていると感じられた。キャストも皆個性豊かであるけどもスペシャリスト特有のエリート集団だけでは終わらず徐々に我をだしてくる演出も好感が持てた（特に長澤まさみと有岡大貴はハマっていたと思う）他ネタバレに関してはコメントに書こうかな映画.com参照日本を代表するSF特撮ヒーロー「ウルトラマン」を、「シン・ゴジラ」の庵野秀明と樋口真嗣のタッグで新たに映画化。庵野が企画・脚本、樋口が監督を務め、世界観を現代社会に置き換えて再構築した。「禍威獣（カイジュウ）」と呼ばれる謎の巨大生物が次々と現れ、その存在が日常になった日本。通常兵器が通じない禍威獣に対応するため、政府はスペシャリストを集めて「禍威獣特設対策室専従班」＝通称「禍特対（カトクタイ）」を設立。班長の田村君男、作戦立案担当官の神永新二ら禍特対のメンバーが日々任務にあたっていた。そんなある時、大気圏外から銀色の巨人が突如出現。巨人対策のため禍特対には新たに分析官の浅見弘子が配属され、神永とバディを組むことになる。主人公・神永新二を斎藤工、その相棒となる浅見弘子を長澤まさみが演じ、西島秀俊、有岡大貴（Hey! Say! JUMP）、早見あかり、田中哲司らが共演。劇中に登場するウルトラマンのデザインは、「ウルトラQ」「ウルトラマン」などの美術監督として同シリーズの世界観構築に多大な功績を残した成田亨が1983年に描いた絵画「真実と正義と美の化身」がコンセプトとなっている。シン・ウルトラマン2022／日本配給：東宝#シン・ウルトラマン,2022/05/11
3.8,書き直しますウルトラマンガチ勢はこの映画で満足の様シンゴジラ期待していた人はいまひとつと言う様な感想で大方締められていた様で改めて刷り込みの力を感じました。私は後者だったので、シンを冠したこの作品群で特撮作品の市場拡大がなされればと期待していたのですが、そういう映画ではなかったですね。(変な期待をしてしまった)バンカーバスター(mop 2)を出してダメージが無い怪獣(禍威獣)が不自然で、逆にB2爆撃機が全滅無残にやられる描写もしない、フェイズドアレイレーダーの様な器官を持っているのかいないのかの言及もしないので、シンゴジラとは微妙な関係に置いていることを分からせようとしていたのではないか？東宝の看板怪獣最強と円谷看板ヒーロー最強を崩したくないという制作者たちの配慮の末の構成だったのかと。。。好意的に捉えると、ウルトラマンを成立させる事が目標の映画で、Qというか怪奇大作戦的な雰囲気も漂わせ、一般的には不思議、見た事ない、映像群をモザイクとしてまとめた、空想特撮を体現しようとしたのかもと考えたりして。なんにしても禍威獣になんとか倒すなり対処してきたはずの組織「禍特対」が機能しそうに見えなかったです。防災大臣が趣味で禍威獣を命名しているというのは、防災庁周辺に外星人がいて禍威獣に対処(説得)していたということか？一番良かったのは山本耕史さん「浅草一文で割り勘」私の好きな言葉です。早水あかりさんのお菓子食べ過ぎシーン可愛い。　斎藤工さんの変な存在感ハマり役かも！　西島さんは？で実はシン仮面ライダーにも出たりしたら変な感じ！一番可哀想なのは長澤まさみさん役割きちんとこなしていて話題にもなっているけど観客目線では彼女ならではという感じを受けませんでした。シンゴジラの出演者が羨ましいとコメントしていた彼女の欲求は満たされていないんじゃないかと余計なことを感じました。映像としては冒頭シンゴジラからのシンウルトラマンタイトル、ウルトラQの巨大不明生物群の見せ方は最高に旨いツカミだと思います。あと、聴けば皆が納得する主題歌は最高でした。今の若年層を掴むのには適切な選択であったと思います。(オリジナルの歌をチョイスせずに、仮にそうした場合も想像しつつ、作品にきちんと向き合った米津氏は、ホントいい仕事をしたと思います)最近はあまりグッズを集めたりしないんですが主題歌CDレーザーカプセルは妙に欲しくなっちゃいまして予約ゲットしました。M八七の文字がMATに見える様にデザインされていて「そんなに帰ってきたかったのか庵野秀明」って感じです。　次のシンシリーズ「シン仮面ライダー」が終わったら、是非奥様と一緒に「シン監督不行き届き」に取り組んでいただき、アオイホノオ以降の庵野さんの苦悩を読んでみたいです。,2022/05/04
3.9,ウルトラマンファンであればあるほど面白い作品だと思います、庵野監督さすがでした,2022/04/30
4.0,至る所に散りばめられたオマージュの数々、技術的にはもっとリアルに作れるところあえてチープ感を残し特撮風に作られたCG、実相寺アングルを超えた庵野アングルとでも言うべきアングルの妙、全編通して庵野監督のフェチと特撮愛に満ち満ちていた。ヒーローもまたその巨体故に町を破壊してしまう問題にも鮮やかな回答を示している。シンエヴァは虚構から卒業し地に足ついた現実世界に一歩を踏み出し幕を閉じたが、今作はその上で虚構の尊さ、さらにいうとそれこそ人間に必要なものだと声高に宣言しているように思える。シンゴジラは虚構vs現実と銘打たれ、遊戯的に虚構のゴジラと現実の日本との対決が描かれた。それで言うとシンウルトラマンは虚構⇔現実、いや空想⇔科学と言い表せられるかも知れない。科学、それは合理主義と置き換えられる。空想、それは神話であり儀礼でありシンボライズ。まさに、劇中登場するクロード・レヴィ・ストロースの「野生の思考」だ。人類にはどちらも欠くことのできないものであり、その２つを手にしたことによって他の動物から一線を画した理知ある存在へと成り得た。相反するように見えて陰と陽のようにバランスを取り合っている。この映画はまさにそんな科学と空想が手を取り合い共闘する感動がある。パゴス、ガボラ、ネロンガと、次々と送り込まれる怪獣達はさながら使徒だし、シンエヴァでエヴァ卒業宣言したかと思えば完全にこれは実写エヴァだ。シンゴジラは続編不可能な終わり方だったけれどこれは2も期待できる。※もちろん未鑑賞のためこのレビューは謂わば空想映画批評です。,2021/03/28
3.0,＜鑑賞前＞庵野秀明。原点DAICON FILM時代の8ミリ『帰ってきたウルトラマン マットアロー1号発進命令』で総監督とウルトラマンを演じてから、ついに帰ってきて新、ウルトラマン映画創造へ。楽しみ。『シン・ウルトラマン』旧マン(古い)を再放送で見てやられて全話を初回放送日、怪獣、決め技、内容、評価をノートにまとめ今だにリマスター版を見てる一般的な(笑)昭和の少年の僕にとってもうどんな気持ちで見ていいか分からない。しかもエヴァ、シンゴジラ味もあるようなので。内容によっては見たら昇天するだろう。『シン・ウルトラマン』初代マンの大ファンなので「怪獣殿下」の王道さ、「空の贈り物」のおとぼけ、「故郷は地球」の悲壮感、「射つな! アラシ」の熱血さ、「小さな英雄」の感動、「さらばウルトラマン」の衝撃が全部入ってるような作品を望んでる笑 というか勝手に補完して観ちゃうだろうな。庵野秀明かく語りきhttps://youtu.be/GP_6l-2PU1w大分前の番組だけど初代ウルトラマンについて熱く語っている。ザラブ星人が好きだと笑。「ウルトラマンと逆の立場だしニセが好き、初代ウルトラマンの宇宙人感が好き、夜のビル街に銀色の巨人が立つのがカッコいい…」など。さらに「監督するなら地球防衛軍、そう組織を描きたい。どうなるかのシミュレーションをやりたい」とシン・ゴジラに繋がるコメントも。『シン・ウルトラマン』予告をチラ見したが楽しみ。久しぶりに初代マンを1話から見返している。コピーの「友情」とは誰と誰のどんな内容だろうか。やはり「遊星から来た兄弟」「禁じられた言葉」の回にヒントがあるのだろうか。馬鹿げてるくらいピュアな決断をする作劇でもいいように思う。『シン・ウルトラマン』地球をめぐる星人対決と「さらば」話をやって怪獣ファイトが楽しければ相当面白く泣けるものになるのではと思ってる。ポイントは禍特対のドラマ、特に役者のような気もしてて特に長澤まさみの王道感と斎藤工の異物感が空想特撮の世界にうまくハマればいいのだが。-----------------------------------＜鑑賞後＞（ネタバレあり）『シン・ウルトラマン』IMAXレーザーGTで2回鑑賞。初代マンファンにはダイジェストでのリメイクのような面白さ。特撮は良くてシン・ゴジラでは東京を焼き払うゴジラにはじめて恐怖を覚えたが、本作では本当に未知の宇宙人がやってきて戦ってくれてるという気持に。その佇まい、戦い方、色の変化、音楽の使い方などさすがというべきアイデアを感じたしファイトシーンはほぼ満足だ。ゼットンのアイデアも地球でのバトルは何回もやったのでバトル演出はともかく宇宙に行くことやその絶望感は良かったように思う。ドラマの下手さと人間の演出（特に女性）は悪い予感はしていたが残念なレベル。樋口真嗣はやはり特撮中心のほうがいいのでは。全体に東宝はじめ作り手がシン2作の成功に甘えて初老オタクの悪い部分にストップを欠けられなかった印象。庵野節の慣れてるところはそれが味なのでしょうがないと思うが、セクハラ部分やあまりに昭和アニメなところをカットして映画的なタメをもたらす編集をし直すだけで大分印象は良くなるのでは。ただ続けて2回見たぐらいで面白かったし、爆笑もしたし、ウルトラマン映画をこの時代に創造し直してくれたことには感謝しかないです。*『シン・ウルトラマン』セクハラ演出問題。長澤まさみは日本的な美しさがあるし、大らかなエロスを感じるような存在。ウルトラマンが菩薩ならお多福的な象徴性もある。そんな存在だけでカッコよくセクシーで、女性も憧れるように見ることもできるのに、なぜフェチなショットや動作、セクハラを連想させるような演出を何度もいれたのだろうか。エヴァっぽいがアニメならまだしも実写だと生々しくてどうしても引いてしまうし、子供向けで高潔な感じさえするウルトラマン世界に不要に感じた。巨大化も初代マンのオマージュでそれだけで楽しいし、特撮的な巨人フェティッシュが面白いのに、わざわざ胸を舐めスカートを覗き足を見せるような撮り方をしてノイズになった。そういうショットはやめてネットへのアップ画像がエロくてそれを抹殺すれば批評性や少なくともオタクの自虐性があったと思うのだが。とにかくしつこくて面白くもなく気になってしまった。*『シン・ウルトラマン』「東宝でお金をかけたDAICON FILM」といった感想を聴いたが成程と。良くも悪くもあそこから変わっていないものを感じた。『シン・ウルトラマン』ある方の感想で「人間ドラマはひどかったが宇宙人ドラマは良かった」で成る程と笑ってしまった。人を喰ったような山本メフィラスと馴染めてない斎藤マンの異物感がマッチしてて二人のシーンは見どころがあったし他の宇宙人まわりも良かった。『シン・ウルトラマン』山本耕史メフィラス廻りは脚本も筆がのってるし胡散臭い演技が炸裂してて最高だった。格言は好きかどうかは適当で覚えたのを言いたいだけでは笑。ウルトラセブン味まであってちゃぶ台が出てくるかなと思ってしまった。爆風で髪が乱れるサスペンスまであった。*『シン・ウルトラマン』初代マンのファンの自分だが空想特撮云々の前に１本の映画としての不味さからくる後味のほうが勝ってしまっている。シン・ゴジラは大震災を経験した日本をテーマに岡本喜八風味を下敷きに特撮を社会劇に落とし込んだヌケの良さがあったが、シン・ウルトラマンは自己犠牲のテーマも台詞が一人歩きしドラマに落とし込めてないので高揚しにくく、円谷テイストもそこからのエヴァ風味ばかりが目につき始終浮いた感じがした。アニメならではのキャラ、台詞や場面であり、生身の人間が演じることの演出をせずにそのまま当てはめているようだし、特に女性の描き方は気味の悪さを感じるところが多くノイズになった。初代ウルトラマンはエロさやキモさはなくおおらかな高潔さが心地よかったのでちょっと嫌な気分になる程だ。結局、庵野秀明のアニメなら面白くなる趣向を、実写のドラマ演出が得意でない樋口真嗣がそのまま（或いは汲み取って過剰に）表現してしまい、東宝も予算の都合もあり彼らの作家性をコントロールできなかったのでは。ウルトラマンの活躍や外星人廻りは面白かったので１本の映画の出来としては残念だ。,2021/01/30
