score,review,date
4.2,2022 89本目人間疲れるな〜となったけど、10代のかっこよさとかわいさと危うさとが観られて満足。スケートもすごくかっこよかった。片親で一人娘だし10代の女の子を夜の町で歩かせる危険性は日本よりもヤバそうだし、あそこまで心配する気持ちも分かる。もちろん毒親の片鱗はあった気もするけど。自分が怪我をしてる時に嘘をついて元カレ（まだ自分が彼に気があることを知っている）に会われてたら、ブチギレる気持ちも分かる、10代だし。ただ、一気に雰囲気がガラッと変わって、仲間が全員敵になって暴言を吐いてくるのは、なかなかの恐怖映像だった。,2022/10/07
4.3,スケボーカッコよすぎる。10代の友達や恋愛、家族との葛藤が描かれていて面白い作品,2022/10/07
4.2,スケボー映画にハズレなし、、と言いたいくらいどれもこれもおもしろい。ドキュメンタリーのような雰囲気に音楽がマッチどのスケボー映画もカメラは同じ人が撮ってるのかと思うくらいカッコいいんだけど。。,2022/10/04
3.0,Z世代、女子スケボーチームの青春物語。劇中で話していた女性の権利に関する議論には共感できたし、ファッションがオシャレだったけれど！だけれど！友人の元カレと仲良くしたらそりゃ仲違いするだろうよ…と思い後半につれて冷めてしまった。,2022/10/04
2.8,父親も母親もクソで居場所がない女子がガールズグループに入れてもらうも、いざ入ってみたらちょっと男と遊んだだけでビッチ扱いで迫害されるタイプのゴリゴリ閉鎖社会だったでござる。怖！！！主人公が男女の機微に少々疎いタイプで馴染めないのは仕方ない気もするし、あんな男のシェアハウスに潜り込むのは危険がすぎる…黒人女子と赤髪男子って正式に別れてたわけじゃないの？めんどくせー！！取られたくない男なら捕まえとけよ！なんで主人公が謝らなあかんの？？最後結局母親とちょっと和解エンドっていう。毒親との和解エンドはお腹いっぱいです。,2022/09/28
3.3,みんな良いけど主役の女の子が良かったスケートもできるし本人？と思った。違うのね。スケート楽しそうやしスケートをもとに集まった仲間楽しそう〜私は行ったことがないからなのか夜の街？とか葉っぱのシーンはやっぱり不安になってちょっと苦手だけども会話がスカッとする感じとか本当に友達な感じなの好きやった。,2022/09/27
3.6,スケボーというと。青春。まさに本作もスケボー好きの女の子による青春映画。でも地味。特に派手なことはない。メイク(技)も地味。いや、地味でもめっちゃ難しいのはわかるけどさ。つまりスケボーの等身大映画。そこがいい。大人は10代のスケボーシーンに夢を見がちだ。でも別に登場人物全員がスタイル抜群の美男美女でもなければ、とんでもメイクをキメるやつらだけの映画じゃなきゃダメな理由はない。主人公はかわいいけどね。どんなメガネしたって、体をやぼったい服でかくしたっ溢れ出る魅力は隠せない。本物のスケーターを起用したのね。さすがみんなサマになってたー！,2022/09/25
4.0,これも、以前ミニシアターでポスター見てみたいと思ってた映画。ニューヨークでスケートボードのチームを作っている女の子たちの友情物語で、実在のスケートボードチームの子たちがフィクションを演じているというかたちのようです。競技で勝つとかではなく、ただ技術を磨くのを楽しんでいるところとか、会話から浮かび出てくる登場人物の性格とか悩みとか、全て思春期あるあるで良かった。最後に謝る必然性がよくわからなかったのだけれど、仲間同士だと小さな隠し事でもわだかまりになるのかな。カミーユは性格が男の子っぽいのでその辺ちょっと浮いているのかもしれないと思った。ひたすら爽やかな青春映画でした。U-Nextにて。同じキャストで別の物語でドラマも配信されているようです。,2022/09/25
4.0,みんなほんまにスケーターでそこがよかった最初の方の周りの子らのイケイケなところに気後れしてるシーンめちゃくちゃわかる,2022/09/24
3.7,すごくよかったなあ〜出てる子が皆リアルスケーターだからファッションもそこかしこについた傷跡も作られたものじゃなくてめちゃくちゃかっこよかった。転んだ時の事を恐れない生足やノースリーブ、グッとくる。男女差別ってどこにもあって、女ってだけで実力を下に見られたり酷いヤジを飛ばされる。それにノータイムで食ってかかっていくのもすごく良かったけど、本当に乱闘になったら力で負けてしまうと思うと切ない。ガスライティング、そこらじゅうにあるね。カミーユが途中クルーから抜けて男子たちの仲間に入れてもらうけど下ネタばっかでヤッただのヤらないだのの中で居心地が悪そうなのめちゃくちゃ身に覚えがあって苦しい。スケボーうまいから仲間として認めて「やってる」けど女には入れない話題をわざと続けて結局は仲間扱いされてないあの感じ、嫌だ〜〜〜よくあそこに泊まっててレイプされなかったな、それがあるかもと思って途中まで凄く怖かった。てかキスして脱がしといて「妹としてしか見れない」は世界共通であるんだね、そのセリフ。デヴォンも若いんだろうからそれが最良と思ったのかもしれないけど(そしてヤッてたらカミーユはスケートキッチンに戻れなかったと思うし結果良かったんだけど)、中途半端な優しさは悪なんだぜ…学びな…と上から目線になってしまいました。最後仲直りするシーンがかなりあっさりだったのも、10代のうちの素直さって感じでよかったな。大人になると喧嘩も仲直りもなかなかできないんだよ、好きなものを通じてできた仲間…ずっと大切にしろよ…👊家出されてた母親の気持ちを考えるとオイ！となるけど危ういのが若さだからな、自分もそうだったのに何故人は自分を棚に上げて若者の心配をしてしまうのか。,2022/09/23
