score,review,date
5.0,やっぱり面白かった。戦闘シーンがすごすぎる。バーフバリ！バーフバリ！って一緒に言いそうなった。,2022/11/09
3.5,伝説誕生に引き続き観た回想シーンが多く時系列が混乱したが、最後の闘いはなかなか迫力があった王族っていうのはなんでこんなに醜悪なんだろう…どこの国でも権力争いもう一つ、カッタッパって何？,2022/11/08
3.5,戦車を引いてる牛が酷い目にあいます。白石晃士監督の『愛してる』を観に行くつもりだったんですが、ロマンポルノなので気乗りせず、代わりに何か無いかと上映作品見てて見つけた作品。国母シヴァガミが心を惑わされる話し。多分新作の『RRR』に合わせてのリバイバルなんですが、1作目の『伝説誕生』はリバイバルしてたのかな？取り敢えず冒頭に前作のあらすじがあるんですが、本編が長いからあらすじも長いw前作でカッタッパがバーフバリを裏切ったのが分かってるのに、そこに辿り着くまでも長い。いやもうそれが本編だし。バーフバリの住んでるなんちゃら王国(名前覚えられない)、民に慕われる国母シヴァガミが慈悲深くて豪胆。次期国王バーフバリは思慮深く勇猛で優しい。欠点見当たらないんですけど。おばちゃんだけどバーフバリよりシヴァガミの方が魅力的やと思ってたのも束の間、実の息子のなんにゃら(だから名前覚えられないって)を差し置いてバーフバリに王位を譲った事への引け目か？それとも母性愛なのか？取り敢えず目が曇って真実が見えなくなる中盤で一気に嫌なおばちゃんに。バーフバリが恋に落ちるどっかの小国の王女なんちゃら(覚えるの諦めました)はインド人らしい健康的なむちむち美人。ただ鼻にも飾り付けしてるんだけど、鼻息で飾りが揺れるのが笑ける。このむちむち美人(名前書くの回避)、国母シヴァガミ以上に豪胆。しかも実際に戦闘能力高い。シヴァガミに対してでも物怖じせずに何でも言う。まあそれで事態が悪化して酷い目に遭うんだけど。バーフバリって剣術だけやなく弓術もとんでもない。前に『フッド・ザ・ビギニング』で弓撃つ速さに驚いたけど、それ以上の速さ。しかも一気に3矢放って全部当たるとかノックの神様春山総星もビックリ。戦闘だけじゃなく日常もド派手で観てて全然飽きません。まあちょっとCGが過ぎる気がするけど。人間がゴミの様に吹き飛ばされてる。クライマックスの反撃のための突撃。余りにめちゃくちゃ過ぎて笑えてきました。あんなの絶対全員死んでる。そんなツッコミどころも含めてめちゃくちゃ楽しい映画でした。ボクはいつも最後列で映画を観るんですが、前は普通に真ん中辺りに座ってたんです。でもある日息子と映画に行った時、息子の後ろの席に人が座席を蹴りまくったらしいんです。勿論わざとではないし相手はすぐ謝られたんですが、息子は怒って劇場を出て行っちゃったんです。それ以来こんな揉め事が起こるの嫌で後ろに人が居ない最後列に座るようになりました。今は後ろ気にしなくて良いので1人でも最後列にしか座りませんが。＊＊＊＊＊＊＊＊＊鑑賞記録＊＊＊＊＊＊＊＊＊鑑賞日：2022年10月17日鑑賞回：17:35〜20:40劇場名：MOVIX京都座席情報：ｼｱﾀｰ②  M-9上映方式：2D 字幕レーティング：G上映時間：167分備考：特別料金(1500円)＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊neNEXT▶︎▶︎▶︎『狂気の愛』#2022年劇場鑑賞(に)#一律料金は嫌だ#ドナドナ牛ちゃん映画,2022/11/08
4.1,回想が長すぎて息子バーフバリの尺が足りるか心配になったが、ラスト30分が盛り上がって最高だったスターウォーズが6部作かけてやったような話を2部作でやってしまうSSラージャマウリ恐るべし王道展開、ご都合主義でも画力が強ければいくらでも観れるネットか何かの映像でヤシの木人間カタパルトは既に見てしまっていたけど、やっぱり凄まじい衝撃。あのシーンは他と比べても突出してどうかしている。最高！,2022/11/07
5.0,伝説誕生で度肝を抜かれたシヴァガミ腕一本お子救いが、、、突然現れた老爺の頭に自分の足で踏ませられるワケが、、、「伝説誕生」の全ての執念が解り、泣いたアマレンドラ・バーフバリがかっこよすぎて流石に称えた。正直マヘンドラ・バーフバリのことは2世にしか見られなかったぐらい心酔…シヴァガミとデーヴァセーナ目力と語気強すぎて最高！！,2022/11/07
4.5,こんなドロッドロだと思わなかったwあたしはカッタッパ絶対許さんこりゃバーフバリ万歳すぎるわ\( 'ω' )/,2022/11/06
0.0,2022年65作目。めっちゃおもしろかった！バーフバリ1を観てから大分経ってるけど…父バーフバリ、かっこよすぎるな…！強くて義理堅い人だから、弱点が愛する人なのよね…ひどい…笑いあり、涙あり！色々と濃いけどオススメ！インドの音楽と踊り、ほんと好き！久しぶりにインド音楽聴いたけど、よきよきでした◎,2022/11/06
3.8,"オカン・シバガミ(初代バーフバリ義理の母)の鶴の一声が強すぎる点(顔芸も凄い！！)など、所々神話特有のロジックが腑に落ちない場面もあったが、ここは私がチューニングを合わせて行くべきだったか。そこを除けば、前回よりさらにパワーアップした大迫力アクションとそのアクションでこそ物語を語っていく同じみのスタイルに惹き込まれた。何より、バーフバリの""真っ直ぐさ""、めちゃくちゃ純粋で良心を備え、その上自分の正義に筋を通す肉体的・精神的強さも兼ね備えるTHE・主人公感に感服。気づけば一緒になって「バーフバリ！バーフバリ！」と声援を挙げていた。Baahubali Foever！！",2022/11/05
4.1,おもしろかったよ。おもしろかったけど、ちょっと長いな。長い割にオチが思ってた以上に薄くてちょっとがっかり。ストーリーは家系図以外は分かりやすくて物語に入り込むことができた。てか、回想シーン長すぎやろ笑　こんなに長いことは初めてやぞ。息子が主人公かと思いきや案外そうでもなくて、親父の方が長いこと描かれてたやん。あと、今作はシヴァガミが愚かすぎた。前作ではこの王妃はすごい価値観を持ってるなぁと感心していたのに、今作は騙されっ放しやったし、頭がものすごく硬かった。急な変わりようやからびっくりした。アクションシーンはもうツッコミどころ満載で楽しい笑笑インド映画はこうでないとだめやな。画面に縛りついて真剣に見るんじゃなくて、誰かと一緒に駄弁りながらツッコミながら見るのが楽しいと思う。,2022/11/05
4.0,完全版二部作合わせての感想。とんでもないアクションとロマンス、歌と踊りとおびただしい死。この映画には退屈さが足りない。,2022/11/05
